"b_start","panel","config","series","analysis_model","rate"
25,"Complete randomization","favor_all_exp_2step (eta>0)","FWER","ttest",0.8184375
37,"Complete randomization","favor_B (eta>0)","A","ttest",0.5928
37,"Complete randomization","favor_B (eta>0)","B","ttest",0.7498
37,"Complete randomization","favor_B (eta>0)","FWER","ttest",0.856375
37,"Complete randomization","favor_B_2step (eta>0)","A","ttest",0.578675
37,"Complete randomization","favor_B_2step (eta>0)","B","ttest",0.7547875
37,"Complete randomization","favor_B_2step (eta>0)","FWER","ttest",0.8548
37,"Complete randomization","favor_all_exp (eta>0)","A","ttest",0.6015375
37,"Complete randomization","favor_all_exp (eta>0)","B","ttest",0.7095375
37,"Complete randomization","favor_all_exp (eta>0)","FWER","ttest",0.8384
37,"Complete randomization","favor_all_exp_2step (eta>0)","A","ttest",0.600975
37,"Complete randomization","favor_all_exp_2step (eta>0)","B","ttest",0.7070375
37,"Complete randomization","favor_all_exp_2step (eta>0)","FWER","ttest",0.84035
49,"Complete randomization","favor_B (eta>0)","A","ttest",0.5912125
49,"Complete randomization","favor_B (eta>0)","B","ttest",0.7771375
49,"Complete randomization","favor_B (eta>0)","FWER","ttest",0.8750375
49,"Complete randomization","favor_B_2step (eta>0)","A","ttest",0.5902875
49,"Complete randomization","favor_B_2step (eta>0)","B","ttest",0.7790875
49,"Complete randomization","favor_B_2step (eta>0)","FWER","ttest",0.8749125
49,"Complete randomization","favor_all_exp (eta>0)","A","ttest",0.6065875
49,"Complete randomization","favor_all_exp (eta>0)","B","ttest",0.7313125
49,"Complete randomization","favor_all_exp (eta>0)","FWER","ttest",0.8575375
49,"Complete randomization","favor_all_exp_2step (eta>0)","A","ttest",0.605525
49,"Complete randomization","favor_all_exp_2step (eta>0)","B","ttest",0.7271375
